D,T,Y,E
10000.0,1000000000.0,0.509090909090909,8.527940112688584e+17
1020000.0,1000000000.0,0.509090909090909,9.650751679987461e+16
2030000.0,1000000000.0,0.509090909090909,1.0607731641398758e+17
3040000.0,1000000000.0,0.509090909090909,1.1691186696701102e+17
4050000.0,1000000000.0,0.509090909090909,1.2734886642442478e+17
5060000.0,1000000000.0,0.509090909090909,1.371971126021763e+17
6070000.0,1000000000.0,0.509090909090909,1.4647377229188787e+17
7080000.0,1000000000.0,0.509090909090909,1.552342682982128e+17
8090000.0,1000000000.0,0.509090909090909,1.635364794328284e+17
9100000.0,1000000000.0,0.509090909090909,1.7143243291712464e+17
10110000.0,1000000000.0,0.509090909090909,1.789669771780212e+17
11120000.0,1000000000.0,0.509090909090909,1.8617832601567994e+17
12130000.0,1000000000.0,0.509090909090909,1.9309901934840285e+17
13140000.0,1000000000.0,0.509090909090909,1.997568703051376e+17
14150000.0,1000000000.0,0.509090909090909,2.0617578399283856e+17
15160000.0,1000000000.0,0.509090909090909,2.1237643281106374e+17
16170000.0,1000000000.0,0.509090909090909,2.183768055613523e+17
17180000.0,1000000000.0,0.509090909090909,2.2419265026548797e+17
18190000.0,1000000000.0,0.509090909090909,2.2983783240818227e+17
19200000.0,1000000000.0,0.509090909090909,2.3532462649383926e+17
20210000.0,1000000000.0,0.509090909090909,2.4066395299091952e+17
21220000.0,1000000000.0,0.509090909090909,2.458655740085493e+17
22230000.0,1000000000.0,0.509090909090909,2.509382545176729e+17
23240000.0,1000000000.0,0.509090909090909,2.5588989590283936e+17
24250000.0,1000000000.0,0.509090909090909,2.6072764945169046e+17
25260000.0,1000000000.0,0.509090909090909,2.654580092545394e+17
26270000.0,1000000000.0,0.509090909090909,2.7008689326567754e+17
27280000.0,1000000000.0,0.509090909090909,2.7461971137253754e+17
28290000.0,1000000000.0,0.509090909090909,2.790614224361367e+17
29300000.0,1000000000.0,0.509090909090909,2.8341658543250058e+17
30310000.0,1000000000.0,0.509090909090909,2.876894025893328e+17
31320000.0,1000000000.0,0.509090909090909,2.918837557810483e+17
32330000.0,1000000000.0,0.509090909090909,2.9600323988290643e+17
33340000.0,1000000000.0,0.509090909090909,3.0005119152906586e+17
34350000.0,1000000000.0,0.509090909090909,3.040307135404662e+17
35360000.0,1000000000.0,0.509090909090909,3.079446965925371e+17
36370000.0,1000000000.0,0.509090909090909,3.117958393976332e+17
37380000.0,1000000000.0,0.509090909090909,3.1558666588764986e+17
38390000.0,1000000000.0,0.509090909090909,3.19319540061518e+17
39400000.0,1000000000.0,0.509090909090909,3.2299667939898157e+17
40410000.0,1000000000.0,0.509090909090909,3.266201676765301e+17
41420000.0,1000000000.0,0.509090909090909,3.301919658079393e+17
42430000.0,1000000000.0,0.509090909090909,3.3371392158395904e+17
43440000.0,1000000000.0,0.509090909090909,3.371877780431189e+17
44450000.0,1000000000.0,0.509090909090909,3.406151817526855e+17
45460000.0,1000000000.0,0.509090909090909,3.43997690277166e+17
46470000.0,1000000000.0,0.509090909090909,3.473367786480579e+17
47480000.0,1000000000.0,0.509090909090909,3.506338452146193e+17
48490000.0,1000000000.0,0.509090909090909,3.5389021673536474e+17
49500000.0,1000000000.0,0.509090909090909,3.571071534833641e+17
50510000.0,1000000000.0,0.509090909090909,3.6028585404690477e+17
51520000.0,1000000000.0,0.509090909090909,3.63427459269267e+17
52530000.0,1000000000.0,0.509090909090909,3.665330561605178e+17
53540000.0,1000000000.0,0.509090909090909,3.696036810933864e+17
54550000.0,1000000000.0,0.509090909090909,3.7264032291122176e+17
55560000.0,1000000000.0,0.509090909090909,3.7564392605935904e+17
56570000.0,1000000000.0,0.509090909090909,3.786153934500433e+17
57580000.0,1000000000.0,0.509090909090909,3.8155558879045677e+17
58590000.0,1000000000.0,0.509090909090909,3.844653390466948e+17
59600000.0,1000000000.0,0.509090909090909,3.873454363964882e+17
60610000.0,1000000000.0,0.509090909090909,3.90196640119958e+17
61620000.0,1000000000.0,0.509090909090909,3.930196785032116e+17
62630000.0,1000000000.0,0.509090909090909,3.958152507381487e+17
63640000.0,1000000000.0,0.509090909090909,3.9858402845730214e+17
64650000.0,1000000000.0,0.509090909090909,4.013266571859863e+17
65660000.0,1000000000.0,0.509090909090909,4.0404375780410995e+17
66670000.0,1000000000.0,0.509090909090909,4.0673592770031885e+17
67680000.0,1000000000.0,0.509090909090909,4.094037419201344e+17
68690000.0,1000000000.0,0.509090909090909,4.1204775432064525e+17
69700000.0,1000000000.0,0.509090909090909,4.146684987312024e+17
70710000.0,1000000000.0,0.509090909090909,4.172664900244107e+17
71720000.0,1000000000.0,0.509090909090909,4.1984222487630464e+17
72730000.0,1000000000.0,0.509090909090909,4.223961827760814e+17
73740000.0,1000000000.0,0.509090909090909,4.2492882679885946e+17
74750000.0,1000000000.0,0.509090909090909,4.2744060429739264e+17
75760000.0,1000000000.0,0.509090909090909,4.299319475973815e+17
76770000.0,1000000000.0,0.509090909090909,4.32403274696104e+17
77780000.0,1000000000.0,0.509090909090909,4.3485498996410675e+17
78790000.0,1000000000.0,0.509090909090909,4.372874848361879e+17
79800000.0,1000000000.0,0.509090909090909,4.3970113828443744e+17
80810000.0,1000000000.0,0.509090909090909,4.4209631736721395e+17
81820000.0,1000000000.0,0.509090909090909,4.444733778088721e+17
82830000.0,1000000000.0,0.509090909090909,4.4683266442043174e+17
83840000.0,1000000000.0,0.509090909090909,4.4917451151754394e+17
84850000.0,1000000000.0,0.509090909090909,4.5149924334026304e+17
85860000.0,1000000000.0,0.509090909090909,4.5380717447450176e+17
86870000.0,1000000000.0,0.509090909090909,4.560986102750567e+17
87880000.0,1000000000.0,0.509090909090909,4.583738472899584e+17
88890000.0,1000000000.0,0.509090909090909,4.6063317360798957e+17
89900000.0,1000000000.0,0.509090909090909,4.628768690895845e+17
90910000.0,1000000000.0,0.509090909090909,4.6510520579029024e+17
91920000.0,1000000000.0,0.509090909090909,4.673184482420775e+17
92930000.0,1000000000.0,0.509090909090909,4.6951685370405574e+17
93940000.0,1000000000.0,0.509090909090909,4.717006724141695e+17
94950000.0,1000000000.0,0.509090909090909,4.738701478418106e+17
95960000.0,1000000000.0,0.509090909090909,4.760255169412924e+17
96970000.0,1000000000.0,0.509090909090909,4.781670104061348e+17
97980000.0,1000000000.0,0.509090909090909,4.802948529241042e+17
98990000.0,1000000000.0,0.509090909090909,4.8240926342699456e+17
100000000.0,1000000000.0,0.509090909090909,4.845104552255464e+17
